"Name","Applied By","Count","Uptime","Source",""
"Monochrome Tones","Subtractive Palette    Subtractive PaletteGrants 3 stacks of Subtractive Palette. Additional Effect: Grants Monochrome Tones Monochrome Tones Effect: Converts one stack of White Paint into Black Paint  Cannot be cast while under the effect of Subtractive Palette. Palette Gauge Cost: 50","12","205160$44.07%  Monochrome TonesOne stack of White Paint has been converted to Black Paint.","Active Ability",""
"Subtractive Palette","Subtractive Palette    Subtractive PaletteGrants 3 stacks of Subtractive Palette. Additional Effect: Grants Monochrome Tones Monochrome Tones Effect: Converts one stack of White Paint into Black Paint  Cannot be cast while under the effect of Subtractive Palette. Palette Gauge Cost: 50","24","185365$39.82%  Subtractive PaletteThe properties of your pictomancy spells have changed.","Active Ability",""
"The Wanderer's Minuet","","60","176294$37.87%  The Wanderer's MinuetCritical hit rate is increased.","Active Ability",""
"Mage's Ballad","","55","162159$34.83%  Mage's BalladDamage dealt is increased.","Active Ability",""
"Hammer Time","Striking Muse    Striking MuseRender a mighty hammer, granting three stacks of Hammer Time. Duration: 30s Maximum Charges: 2  Can only be executed while in combat and when a hammer is painted on the Weapon Canvas.  ※This action cannot be assigned to a hotbar. ※Steel Muse changes to Striking Muse when requirements for execution are met.","18","152843$32.83%  Hammer TimeAble to execute the hammer combo.","Active Ability",""
"Aetherhues II","Aero in Green    Aero in GreenDeals wind damage with a potency of 530 . Additional Effect: Grants Aetherhues II Duration: 30s Can only be executed while under the effect of Aetherhues and not under the effect of Subtractive Palette. When standing within the bounds of Starry Muse, consumes a stack of Hyperphantasia if available. ※This action cannot be assigned to a hotbar. ※Fire in Red changes to Aero in Green when requirements for execution are met.      Stone in Yellow    Stone in YellowDeals earth damage with a potency of 900 . Additional Effect: Grants Aetherhues II Duration: 30s Can only be executed while under the effect of Aetherhues and Subtractive Palette. When standing within the bounds of Starry Muse, consumes a stack of Hyperphantasia if available.  This action does not share a recast timer with any other actions. Upon execution, the recast timer for this action will be applied to all other weaponskills and magic actions.  ※This action cannot be assigned to a hotbar. ※Blizzard in Cyan changes to Stone in Yellow when requirements for execution are met.","28","145261$31.20%  Aetherhues IIAble to cast blue and magenta magicks.","Active Ability",""
"Army's Paeon","","44","125756$27.01%  Army's PaeonDirect hit rate is increased.","Active Ability",""
"Aetherhues","Blizzard in Cyan    Blizzard in CyanDeals ice damage with a potency of 860 . Additional Effect: Grants Aetherhues Duration: 30s Can only be executed while under the effect of Subtractive Palette. When standing within the bounds of Starry Muse, consumes a stack of Hyperphantasia if available.  This action does not share a recast timer with any other actions. Upon execution, the recast timer for this action will be applied to all other weaponskills and magic actions.      Fire in Red    Fire in RedDeals fire damage with a potency of 490 . Additional Effect: Grants Aetherhues Duration: 30s Cannot be executed while under the effect of Subtractive Palette. When standing within the bounds of Starry Muse, consumes a stack of Hyperphantasia if available.","29","121191$26.03%  AetherhuesAble to cast green and yellow magicks.","Active Ability",""
"Rainbow Bright","","4","12464$2.68%  Rainbow BrightNext Rainbow Drip will require no time to cast, and will have a reduced recast timer.","Active Ability",""
"Subtractive Spectrum","Starry Muse    Starry MuseRender a star streaming sky over a magicked landscape, increasing damage dealt by self and nearby party members by 5%. Duration: 20s Additional Effect: Grants Subtractive Spectrum Duration: 30s Additional Effect: Grants Inspiration and 5 stacks of Hyperphantasia Stacks of Hyperphantasia are consumed upon casting certain spells while under the effect of Inspiration. Duration: 30s Inspiration Effect: Reduces cast time and recast time of Star Prism and aetherhue spells by 25% while standing within the bounds of the magicked landscape Effect expires when all stacks of Hyperphantasia are consumed.  Additional Effect: Grants Rainbow Bright upon consuming all 5 stacks of Hyperphantasia Duration: 30s Rainbow Bright Effect: Rainbow Drip can be cast immediately and has a reduced recast timer  Additional Effect: Grants Starstruck Duration: 20s  Can only be executed while in combat and when a starry sky is painted on the Landscape Canvas.  ※This action cannot be assigned to a hotbar. ※Scenic Muse changes to Starry Muse whe","4","5748$1.23%  Subtractive SpectrumAble to execute Subtractive Palette without cost.","Active Ability",""
